Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Shark: The Storm,-,Min Ji,Kim Geon,"Kim Min-seok, Lee Hyun-wook","Action thriller, Crime drama",TVING,6,"May 15, 2025",2025,-,"Cha Woo-sol, once a target of unyielding school bullying, took a drastic step when he snapped and stabbed his abuser, resulting in a prison sentence. While incarcerated, he encountered Jung Do-hyun, a former MMA champion, who became his mentor, teaching him the skills to fight and survive. After his release, Woo-sol is resolved to move on from his past and chase his aspiration of becoming a professional mixed martial arts fighter. He trains rigorously, aiming to carve out a new future despite the stigma attached to being an ex-convict. His former prison companions, who are also striving to lead reformed lives, support him. Among them, Lee Won-joon stands out as he seeks to make amends to those he bullied in his past. Nevertheless, Woo-sol's attempts to lead a tranquil life are disrupted when he encounters Hyun Woo-yong. Woo-yong is a formidable and sadistic gang leader who operates a brutal underground fighting league for his own twisted enjoyment. A skilled fighter himself, he views Woo-sol as a new plaything to manipulate and exploit. Initially, Woo-sol attempts to steer clear of Woo-yong's perilous realm, but Woo-yong's unyielding pursuit and readiness to harm those close to Woo-sol compel him to act. This leads to an intense struggle for survival, with Woo-sol being pulled into the merciless illegal fighting circuit. He is no longer merely fighting for himself but also to safeguard his friends and loved ones from Woo-yong's violent syndicate."
Sharp (TV series),-,"Hong Ja-ram, Hong Jin-ah, Kwon Gi-kyeong, Lim Eun-ha","Choi Se-kyeong, Ha Tae-seok, Kim Jeong-hwan, Park Gi-hyeon","Go Ara, Seo Hyun-seok, Yoo Ah-in, Lee Eun-sung, Kim Ki-bum, Kim Hee-chul",Drama,KBS2,163+2,"November 29, 2003 –
February 25, 2007","2003, 2007",-,"Sharp (Korean: 반올림) is a Korean drama that aired from November 29, 2003, to February 25, 2007, on KBS2."
She Knows Everything,"Miss Lee Knows Everything, Miss Lee Knows, Miss Ri Knows",Seo Young-hee,Lee Dong-hyun,"Kang Sung-yeon, Jo Han-sun","Mystery, Drama, Crime, Psychological",MBC,4 (8 parts),"July 8 –
July 16, 2020",2020,-,This series is depicting a mystery incident that deals with human desires and truths uncovered in pursuit of a suspect involved in a mysterious death.
She Was Pretty,"She Was Beautiful, Puzzled Lovers, Pretty Woman",Jo Sung-hee,Jung Dae-yoon,"Hwang Jung-eum, Park Seo-joon, Go Joon-hee, Choi Si-won","Romantic comedy, Workplace drama",MBC TV,16,"September 16 –
November 11, 2015",2015,-,"A romantic comedy, based on a true story, about two past acquaintances who meet again after they've gone through a reversal of fortunes and appearances, set against the backdrop of a fashion magazine's publishing office."
She Would Never Know,-,Chae Yoon,"Lee Dong-yoon, Ra Ha-na","Won Jin-ah, Rowoon, Lee Hyun-wook, Lee Joo-bin, Lee Kyu-han","Romantic drama, Romantic comedy, Slice of life",JTBC,16,"January 18 –
March 9, 2021",2021,-,"The series tells the story of people working on the marketing team of a cosmetics brand. The love story focuses on the senior/junior relationship of Yoon Song-ah (Won Jin ah) and Chae Hyun-seung (Rowoon). The storyline also include Chae Hyun-seung's sister, Chae Ji-Seung a dress maker, dating Lee Jae-Woon, a BM at the cosmetics company; and his other sister, Chae Yeon-Seung's relationship with her closeted husband, Kang Woo-Hyun and their young daughter, Kang Ha-Eun."
Shin Don (TV series),-,Jung Ha-yeon,Kim Jin-min,"Son Chang-min, Jeong Bo-seok, Seo Ji-hye, Oh Man-seok, Kang Moon-young","Historical, Political",MBC,61,"September 24, 2005 –
May 7, 2006","2005, 2006",-,"Shin Don (Korean: 신돈) is a South Korean television series based on the novel The Phantom Queen (다정불심; 多情佛心; Dajeongbulsim) by Park Jong-hwa, starring Son Chang-min, Jeong Bo-seok, Seo Ji-hye, Oh Man-seok and Kang Moon-young. It aired on MBC from September 24, 2005 to May 7, 2006 every Saturday and Sunday at 21:40 (KST)."
Shine or Go Crazy,Shine or Be Mad,"Kwon In-chan, Kim Sun-mi","So Hyung-suk, Yoon Ji-hoon","Jang Hyuk, Oh Yeon-seo, Lee Hanee, Lim Ju-hwan","Historical, Romance, Fantasy",MBC TV,24,"January 19 –
April 7, 2015",2015,-,"Wang So was born a prince of Goryeo, but because a prophecy foretells that he will turn the country into a river of blood, he is exiled from the palace and shunned by the royal family. Having lost his place as the rightful heir to the throne, he lives an isolated life, and in Wang So's absence, his illegitimate half-brother Wang Uk makes an ambitious play for power."
Shining Romance,-,Seo Hyun-joo,"Shin Hyung-chan, Jung Ji-in","Lee Jin, Park Yoon-jae, Jo An","Drama, Romance, Soap opera",MBC TV,122,"December 23, 2013 –
June 20, 2014","2013, 2014",-,"""Super mom"" Oh Bit-na has been a housewife for five years to her plastic surgeon husband and five-year-old daughter named Yeon-doo. One day, she coincidentally meets her childhood friend, Ha-joon. Ha-joon still remembers his promise to Bit-na that they made in elementary school. Their promise was to grow up and marry with each other. But Chae-ri, who has her heart set for Ha-joon, is jealous of Bit-na and tries to stop Bit-na from marrying with Ha-joon. Chae-ri also tries to stop Bit-na from becoming the best cook in Chunwoongak, where Chae-ri lives, and knowing that Professor Jang (Chae-ri's foster father) is Bit-na's biological father. Bit-na's husband, Byun Tae-shik cheats on Bit-na and has an affair with a con artist named Emma. To marry Emma (mostly for money) Byun Tae-shik tricks Bit-na into an unfair fake divorce. When Ha-joon knows that Bit-na is divorced, he does anything to make her become his girlfriend and soon, become his wife. Chae-ri and her mother, Kim Ae-sook, try to stop Bit-na but Bit-na, smart and quick-witted, avoids the traps set by them. When the truth about Bit-na being the daughter of Professor Jang gets revealed, Bit-na becomes the owner of Chungwookgak. Kim Ae-sook throws down a big flower pot that was meant for Bit-na, but hit Ae-sook's own daughter, Chae-ri. Therefore, Chae-ri seriously injures her head and starts acting like a five-year old, even calling Bit-na's young daughter ""older sister"". Ae-sook is arrested for her many crimes, especially for switching Chae-ri and Bit-na when they were babies, twisting their fates. Lee Tae-ri, turns herself into the police for a hit-and-run accident that she caused and killed Bit-na's foster father. The final episode of Shining Romance ends with Yeon-doo in Ha-joon's arms, Bit-na walking along beside them."
Shin's Project,-,Ban Ki-ri,Shin Kyung-soo,"Han Suk-kyu, Bae Hyun-sung, Lee Re",Black comedy,tvN,9,"September 15, 2025 –
present",2025,-,"A comedy drama about a negotiation expert, Mr. Shin, who intervenes as a mediator to resolve disputes and problems between people."
Shooting Stars (South Korean TV series),-,Choi Young-woo,Lee Soo-hyun,"Lee Sung-kyung, Kim Young-dae, Yoon Jong-hoon, Kim Yoon-hye, Lee Jung-shin, Park So-jin",Romantic comedy,tvN,16,"April 22 –
June 11, 2022",2022,-,"The series is about the romantic and comedic love story of top star Gong Tae-sung sharing a love-hate relationship with Oh Han-byul, the PR team leader of his management agency Starforce Entertainment."
Shopping King Louie,"Shopaholic Louis, Shopping King Louis",Oh Ji-young,Lee Sang-yeob,"Seo In-guk, Nam Ji-hyun, Yoon Sang-hyun, Im Se-mi",Romantic comedy,MBC TV,16,"September 21 –
November 10, 2016",2016,-,"A romantic comedy about Louis (Seo In-guk), a rich heir who always spends money to buy everything that has a subtle beauty talking to his soul. One day he loses his memory and meets Bok-shil (Nam Ji-hyun), a pure and energetic woman from the countryside. She is at first astounded by his spending habits. In the process of teaching him to only buy bare necessities or inexpensive small kindnesses that lighten up one's day, she also learns that bare necessities are not same for everyone as they depend on everyone's own values that shape their life and thus their shopping patterns. Both have innate innocence which bring them to care for each other, leading to undeniable love."
Short (TV series),Love on Ice,Kim Jung-Ae,Kim Young-min,"Kang Tae-oh, Yeo Hoe-hyun",Sports,OCN,4,"February 12 –
February 20, 2018",2018,-,Two people who never fit in met on the cold ice! A special drama about a novice short track speed skater reaching the top of the world is a drama about a young boy who has grown up to become a member of the world's highest speed skating team.
Should We Kiss First?,Shall We Kiss First?,Bae Yoo-mi,Son Jeong-hyun,"Kam Woo-sung, Kim Sun-a, Oh Ji-ho, Park Si-yeon","Romance, Melodrama",SBS TV,40,"February 20 –
April 24, 2018",2018,-,"The story of a middle-aged man and woman who have given up any dreams of a passionate romance, but are both afraid of living and dying alone."
Show Window: The Queen's House,-,"Han Bo-kyung, Park Hye-young","Kang Sol, Park Dae-hee","Song Yoon-ah, Lee Sung-jae, Jeon So-min, Hwang Chan-sung","Melodrama, Mystery",Channel A,16,"November 29, 2021 –
January 18, 2022","2021, 2022",-,"It is about a woman who supports the adultery of another woman, without knowing that the affair is with her husband."
Shut Up & Let's Go,Shut Up & Let's Go,Seo Yoon-hee,Lee Kwon,"Sung Joon, Jo Bo-ah, Kim Myung-soo, Jung Eui-chul, Kim Min-seok, Yoo Min-kyu, Lee Hyun-jae","Teen, Romance, Music",tvN,16,"January 30 –
March 20, 2012",2012,-,"Joo Byung-hee (Lee Min-ki) is the crazy, free-spirited leader and vocalist of the popular underground rock group, Eye Candy. Joining him is Kwon Ji-hyuk (Sung Joon), chic Lee Hyun-soo (L), playboy Kim Ha-jin (Yoo Min-kyu), silent Jang Do-il (Lee Hyun-jae) and baby-faced Seo Kyung-jong (Kim Min-seok). When their delinquent-ridden school is forced to close down, they debate whether it's even worth returning to high school at all. However, due to an outside confrontation with their new school's current ruling band, Strawberry Fields, Eye Candy decides to attend Jungsang High out of spite so they can rule the school once again. Joo Byung-Hee finds his muse in Jungsang High School and dreams of performing in a music festival. They overcome their various economic difficulties to earn themselves the Jungsang High School uniform and finally are able to enter. By taking inspiration from his blossoming relationship, Byung-hee finally finishes his composition for the festival. Tensions flare between Eye Candy and Strawberry Fields, leading to violent encounters."
Sign (TV series),-,"Jang Hang-jun, Kim Eun-hee",Jang Hang-jun,"Park Shin-yang, Kim Ah-joong, Jun Kwang-ryul, Jung Gyu-woon, Uhm Ji-won","Romance, Crime, Action",SBS TV,20,"January 5 –
March 10, 2011",2011,-,"The story details the partnership between Go Da-kyung (Kim Ah-joong), a warm-hearted rookie and Yoon Ji-hoon (Park Shin-yang), a high-tempered forensic doctor, who find themselves an unlikely pair for solving cases."
Signal (South Korean TV series),-,Kim Eun-hee,Kim Won-seok,"Lee Je-hoon, Kim Hye-soo, Cho Jin-woong","Procedural, Drama, Thriller, Fantasy","tvN
AXN",16 (list of episodes),"January 22, 2016 –
present",2016,-,"In present-day 2015, criminal profiler Park Hae-young (Lee Je-hoon) finds a mysterious discarded walkie talkie; inexplicably, the person at the other end, Detective Jae-han (Cho Jin-woong), is from the past, and addresses him familiarly, even though Hae-young has never met him. Hae-young is able to solve a 15-year-old kidnapping and murder case involving a former classmate from his childhood with Jae-han's help. The success of this case triggers the formation of a cold case team, led by Detective Cha Soo-hyun (Kim Hye-soo), who has been searching for Jae-han, her long-lost mentor and unrequited love, for the past 15 years."
Single Dad in Love,"Single Papa in Love, Single Daddy in Love",Oh Sang-hee,Moon Bo-hyun,"Oh Ji-ho, Heo Yi-jae, Kang Sung-yeon",-,KBS2,16,"February 18 –
April 8, 2008",2008,-,"Kang Poong-ho is a pest exterminator by day and a K-1/mixed martial arts fighter by night. He is a single father raising his 7-year-old son Kang San after the boy's mother, his first love Yoon So-yi, abandoned them to pursue her ambition of becoming a pianist. Despite life's trials, Poong-ho never loses his optimism and sense of humor."
Single-minded Dandelion,"Abiding Love Dandelion, One Way Dandelion, Single-minded Min Deul-re","Lee Hae-jung, Yeom Il-ho",Shin Chang-seok,"Kim Ga-eun, Hong In-young, Yoon Sun-woo, Jeon Seung-bin","Period drama, Romance, Family",KBS2,134,"August 25, 2014 –
February 27, 2015","2014, 2015",-,"During the 1960s and 1970s, two sisters work at a flour mill and experience life and love."
Sisters of the Sea,Sea of Sisters,Lee Hee-woo,"Im Hwa-min, Kim Geun-hong","Go Jung-min, Lee Yoon-ji","Drama, Romance",Munhwa Broadcasting Corporation,155,"August 1, 2005 –
January 27, 2006","2005, 2006",-,"Sisters of the Sea (Korean: 자매바다; RR: Jamaebada) is a South Korean weekday morning television drama that aired on MBC from August 1, 2005 to January 27, 2006. The series followed the lives of the Song sisters."
Sisters-in-Law (TV series),"All Kinds of Daughters-in-Law, Unique Daughters-in-Law",Oh Sang-hee,Lee Jae-jin,"Hahm Eun-jung, Lee Joo-yeon, Kang Kyung-joon, Cha Do-jin","Family, Melodrama",MBC TV,100,"June 5 –
November 14, 2017",2017,-,"Sisters-in-Law (Korean: 별별 며느리; RR: Byeolbyeol myeoneuri; lit. All Kinds of Daughters-in-Law) is a 2017 South Korean television series starring Hahm Eun-jung, Lee Joo-yeon, Kang Kyung-joon, and Cha Do-jin. The series airs daily on MBC from 20:55 to 21:30 (KST), however, starting episode 40, the series was moved to Monday and Tuesday 20:55 (KST) time-slot with 2 episodes back-to-back."
Sisyphus: The Myth,Sisyphus,"Lee Je-in, Jeon Chan-ho",Jin Hyuk,"Cho Seung-woo, Park Shin-hye, Kim Byung-chul, Chae Jong-hyeop","Science fiction, Thriller, Drama, Action, romance",JTBC,16,"February 17 –
April 8, 2021",2021,-,A series of unexplainable events introduces a famous engineer and physicist (Cho Seung-woo) to dangerous secrets and to a beautiful woman (Park Shin-hye) from the future who has come looking for him. Together they must break the time loop to prevent a nuclear war from happening.
Six Flying Dragons,Roots of the Throne,"Kim Young-hyun, Park Sang-yeon",Shin Kyung-soo,see cast,"Historical, Political drama, Action",SBS,50,"October 5, 2015 –
March 22, 2016","2015, 2016",-,"The story tells about the foundation of the Joseon dynasty in the Korean Peninsula, and the ambitions, success and conflicts of several real and fictional characters, with a focus on the young Yi Bang-won."
Sketch (TV series),-,Kang Hyun-sung,Lim Tae-woo,"Rain, Lee Sun-bin, Lee Dong-gun, Jung Jin-young, Kang Shin-il, Lim Hwa-young, Lee Seung-joo","Action, Fantasy, Crime",JTBC,16,"May 25 –
July 14, 2018",2018,-,"The plot revolves around an ace detective, Kang Dong-soo (Jung Ji-hoon), and a female detective, Yoo Shi-hyun (Lee Sun-bin), who can sketch out the future as they try to capture a serial killer."
Sky Castle,SKY Castle,Yoo Hyun-mi,Jo Hyun-tak,"Yum Jung-ah, Lee Tae-ran, Yoon Se-ah, Oh Na-ra, Kim Seo-hyung","Satire, Black comedy, Family, Mystery, Psychological drama",JTBC,20 + special,"November 23, 2018 –
February 1, 2019","2018, 2019",-,"A satirical series that closely looks at the materialistic desires of upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives. The drama revolves around the lives of housewives residing in a luxurious residential area called SKY Castle (a reference to the elite universities) in suburban Seoul, where wealthy doctors and professors live. The wives are determined to make their husbands more successful and to raise their children to be top students who will be accepted at the best universities, so they use every possible way to achieve that."
Smile Again (2006 TV series),-,Yoon Sung-hee,Hong Sung-chang,"Kim Hee-sun, Lee Dong-gun, Lee Jin-wook","Romance, Drama",Seoul Broadcasting System,16,"May 17 –
July 6, 2006",2006,-,"Ban Ha-jin is calculating and ambitious. Even though he's an orphan and a high school drop out, he will use any means to fulfill his ambition. Through coincidence, he meets Yoon Jae-myung at a bar in Switzerland. Jae-myung is a popular former baseball player who went to the same high school as he did, and Ha-jin manipulates a series of events to become Jae-myung's best friend. He also runs into Oh Dan-hee, the girl he loved and hurt in high school."
Smile Again (2010 TV series),"Smile, Dong-hae",Moon Eun-ah,"Kim Myung-wook, Mo Wan-il","Ji Chang-wook, Do Ji-won, Oh Ji-eun, Park Jung-ah","Drama, Romance",KBS1,159,"4 October 2010 –
13 May 2011","2010, 2011",-,"As a child, Cho Dong-baek suffered brain damage from almost drowing, and was left amnesiac and with the mental capacity of a nine-year-old. She was later adopted by an American family and renamed Anna Laker. As a young adult, she fell in love with a Korean man, who used the English name James (aka Kim Joon), while he was studying abroad in New York, but due to personal circumstances, the two were separated. Back in South Korea, James/Joon married Hong Hye-sook, the adopted daughter of the Cho family, and had a son with her, Do-jin. Unknown to James, Anna also gave birth to their son, Carl Laker (aka Dong-hae). Twentyseven years later, the Lakers relocate to Seoul for Carl to participate in a short track speed skating competition as a representative on the American team. While his career is ended from being struck by a truck in a traffic accident, Carl decides to stay in Korea and search for his father to ask him the reason why he left them. He and Anna are taken in by Lee Bong-yi, an aspiring chef who wants to be the first female head chef, and her family."
"Smile, Mom",-,Kim Soon-ok,Hong Sung-chang,"Lee Mi-sook, Park Won-sook, Ji Soo-won, Yoon Jung-hee, Lee Jae-hwang, Ko Eun-mi, Kang Min-kyung, Im Ye-jin, Kim Yong-gun, Kim Jin-woo, Seo Jun-young","Drama, Romance, Family, Erotica Drama",SBS,50,"6 November 2010 –
24 April 2011","2010, 2011",-,Smile Mom covers the reconciliation and love stories of 3 pairs of mothers and daughters.
"Smile, You","Smile, Honey, Smile, Dear, Smile, Love, You Smile",Moon Hee-jung,Lee Tae-gon,"Lee Min-jung, Jung Kyung-ho","Comedy, Romance, Drama",SBS TV,45,"26 September 2009 –
7 March 2010","2009, 2010",-,"Seo Jung-in is the third child of a rich family. She gets dumped by her groom Lee Han-se on their wedding day after his family finds out that the Seo family has gone bankrupt, with Han-se literally leaving her stranded on the highway. She stops a taxi, causing trouble for a bus where Kang Hyun-soo, who had just gotten back to Korea after studying in the United States, sits. He is in love with Jung-in's older sister, Jung-kyung, who was Hyun-soo's classmate in college. Jung-in ends up being taken in by the family of Kang Man-bok, their former chauffeur. She discovers that Hyun-soo, with whom she's had many bickering encounters, is Man-bok's grandson. Planning to run to their eldest son, Seo Sung-joon (a professional golf player overseas), the Seo family is about to leave the country when the police arrest their father and puts him in jail. The Seo's then discover that their house was sold from under them. With nowhere else to go, they, too, are forced to live with the Kang family."
Snow Flower (TV series),Snowflakes,Park Jin-woo,Lee Jong-soo,"Kim Hee-ae, Go Ara, Lee Jae-ryong, Kim Ki-bum",-,Seoul Broadcasting System,16,"November 20, 2006 –
January 9, 2007","2006, 2007",-,"When she was young, Yoo Da-mi (Go Ara) was forced to move in with her grandmother. Her father subsequently disappeared from her life, and since then, she'd always believed that he'd died. As time passes, her mother Lee Kang-ae (Kim Hee-ae) becomes one of the country's bestselling authors. Consequently, she never found time to spend with her daughter. One day, Da-mi accidentally intercepts a phone call from her father, Yoo Geon-hee (Lee Jae-ryong), and realizes that her mother has lied to her all these years about her father's whereabouts. Angry, Da-mi rebels by deciding not to go to college, despite having excellent grades in high school. On a whim, she accompanies her friend to an audition, and becomes an actress instead. Coincidentally, the first film Da-mi stars in is based on one of Kang-ae's novels. During one of their heated arguments, Da-mi tells her mother that she's going to Japan to search for her father. Meanwhile, at her side is her boss's stepbrother, Ha Young-chan (Kim Kibum), a family friend who secretly loves Da-mi and keeps helping her even though she's rejected his feelings."
