title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
The Miracle We Met,Miracle that We Met,"An ordinary man dies in a car crash, but his spirit awakes inside another man with the same name and age but an entirely different background. He becomes the head of two families and agonizes over his two different wives.",KBS2,,"Romance, Melodrama, Fantasy",,,"April 2 –
May 29, 2018",,"Kim Myung-min, Kim Hyun-joo, Ra Mi-ran, Ko Chang-seok, Joseph Lee",Baek Mi-kyung,Lee Hyung-min,18,2018,-
The Missing (South Korean TV series),-,"Gil Soo-hyun is a genius who entered Harvard University at the age of ten. After working for the FBI for a decade, he mysteriously decides to return to Korea, where he gets assigned to lead a special missing persons task force that goes after the 1% toughest unsolved cases.",OCN,,"Police procedural, Thriller, Mystery, Action",,,"March 28 –
May 30, 2015",,"Kim Kang-woo, Park Hee-soon",Lee Yoo-jin,Lee Seung-young,10,2015,-
The Most Beautiful Goodbye,-,"A self-sacrificing mother who receives a terminal cancer diagnosis and prepares to say goodbye to her family. Her illness brings her family together for the first time, to support her at the very end of her life.",tvN,,"Family, Melodrama",,,"December 9 –
December 17, 2017",,"Won Mi-kyung, Choi Ji-woo, Kim Young-ok, Choi Min-ho",Noh Hee-kyung,Hong Jong-chan,4,2017,-
The Murky Stream,-,"The Murky Stream depicts the story of the destinies of three people in the corrupt Joseon Dynasty in 1592 CE, where the once blue Gyeonggang River has turned into a turbid stream.",Disney+,,Historical drama,,,"September 26 –
October 17, 2025",,"Rowoon, Shin Ye-eun, Park Seo-ham",Chun Sung-il,Choo Chang-min,9,2025,-
The Musical (TV series),-,"The series follows the lives of people in the world of musical theatre, showing the passion and dreams among the producers, songwriters and actors during a musical production. Go Eun-bi is a medical student who loves musicals, and her dream is to be a professional musical theatre actress. Hong Jae-yi was once one of the best composers in Korea, but he quit musical theatre and left the country after his girlfriend, musical theatre diva Bae Kang-hee broke up with him and married another man. When Jae-yi returns to Korea, he accidentally meets Eun-bi and decides to help her achieve her dream. Jae-yi believes that Eun-bi will become a better actress than Kang-hee, and thus their love triangle begins.",Seoul Broadcasting System,,"Musical, Romance, Drama",,,"2 September –
23 December 2011",,"Koo Hye-sun, Choi Daniel, Park Ki-woong, Ock Joo-hyun",Kim Hee-jae,Kim Kyung-yong,15,2011,-
The Mysterious Class,-,"In Boseok Boys High School, the students of Grade 12 – Class 4 are trying to come into terms with the possibility of a ghost lurking in their homeroom after discovering that their class of 21 students was supposed to have only 20. A series of spooky events drove the students to suspect each other while trying to solve the mystery of their class' resident ghost, who might simply be posing as one of their classmates.",YouTube,,"Supernatural thriller, Mystery",,,"12 November –
31 December 2021",,"Haruto Watanabe, Kim Do-young, Choi Hyun-suk, Bang Ye-dam, Asahi Hamada, So Jung-hwan, Yoon Jae-hyuk, Yoshinori Kanemoto, Park Jeong-woo, Kim Jun-kyu, Park Ji-hoon, Mashiho Takata",Han Song-yi,Ha Han-me,8,2021,-
The Nice Guy,The Good Man,"The Good Man depicts the struggles of Seok-cheol, the eldest grandson of a three-generation gangster family, to protect his family, job, and love.",JTBC,,"Romance, Drama, Family, Noir",,,"July 18 –
August 29, 2025",,"Lee Dong-wook, Lee Sung-kyung, Park Hoon","Kim Woon-kyung, Kim Hyo-seok","Song Hae-sung, Park Hong-soo",14,2025,-
The Noblesse,-,The friendship and love stories of two women with completely different backgrounds.,JTBC,,Romance,,,"January 13 –
August 8, 2014",,"Seo Ji-hye, Park Jung-ah, Hyun Woo-sung, Jung Sung-woon",Ho Young-ok,"Han Chul-soo, Sunwoo Young-gun",148,2014,-
The One and Only (South Korean TV series),Just One Person,"The series tells the story of three women from very different backgrounds who have met in a hospice and decided to take down one bad person with the limited time they have left. Through unexpected events they become entangled in a murder case after meeting a mysterious hitman, and are faced with discovering the 'one person' who is truly precious.",JTBC,,Melodrama,,,"December 20, 2021 –
February 8, 2022",,"Ahn Eun-jin, Kim Kyung-nam, Kang Ye-won, Park Soo-young",Moon Jung-min,Oh Hyun-jong,16,"2021, 2022",-
The Package (TV series),-,"Yoon So-so (Lee Yeon-hee) works as a travel guide in France. She leads a group of tourists on a package tour. The travelers all have their own stories. San Ma-roo (Jung Yong-hwa) joined the tour after being dumped by his girlfriend. Kim Gyung-jae (Choi Woo-shik) has been dating for the past 7 years. A mysterious man (Yoon Park) seems to follow Yoon So-so. Jung Yeon-sung (Ryu Seung-soo) joined the package tour with a partner, but he will not reveal what kind of relationship they are in. Han So-ran (Ha Shi-eun ) is a web designer and agonizes over staying single or marriage. Oh Gab-soo (Jung Kyoo-soo ) is extremely stubborn. Han Book-ja (Lee Ji-hyun) spent most of her life taking care of her husband. Jung Na-hyun (Park Yoo-na) is a woman whom other people cannot guess her age. They all do not want to become involved in each other's personal lives, but, while they travel together, they become closer and develop relationships.",JTBC,,Drama,,,"October 13 –
November 18, 2017",,"Lee Yeon-hee, Jung Yong-hwa, Choi Woo-shik, Yoon Park, Ryu Seung-soo",Chun Sung-il,"Jeon Chang-geun, Kim Jin-won",12,2017,-
The Penthouse: War in Life,"Penthouse, The Penthouse",-,SBS TV,,"Suspense, Drama, Crime, Revenge, Thriller, Mystery",,,"October 26, 2020 –
September 10, 2021",,"Lee Ji-ah, Kim So-yeon, Eugene, Um Ki-joon, Yoon Jong-hoon, Shin Eun-kyung, Bong Tae-kyu, Park Eun-seok, Yoon Joo-hee",Kim Soon-ok,"Joo Dong-min  (S1–3), Park Bo-ram (S1), Park Soo-jin (S2–3)",48,"2020, 2021",-
The Potato Lab,-,A passionate researcher's life takes a turn when a strict director arrives at her potato lab — proving that love can sprout in the most unusual places.,tvN,,Romantic comedy,,,"March 1 –
April 6, 2025",,"Lee Sun-bin, Kang Tae-oh",Kim Ho-soo,Kang Il-soo,12,2025,-
The President (South Korean TV series),-,"The drama follows the presidential election process to shed light on the right way of politics, the qualifications of a future Korean president, and also the personal tribulations and ambitions of politicians hidden behind the power struggles. Three months before the presidential nominating convention, Jang Il-joon, from the New Wave Party, declared his candidacy. On that same day, a woman died in a gas explosion in Sam-Chuk. There is little doubt that the accident and the nomination of Jang Il-joon are related. Meanwhile, Yoo Min-ki, a documentary producer, heard of his mother's sudden death and headed for Sam-Chuk. As he cast his mother's ashes in the sea, he thought of his childhood: his father always blurt out that Min-ki was not his own son whenever he was drunk. Min-ki believed that his father was telling the truth because he had seen his mother tearing up and looking at an old photograph of a man often. Min-ki discovered that the photograph was gone when he was cleaning up his mother's belongings. After the funeral, Min-ki returned to Seoul and Jang Il-joon asked Min-ki to work as a PR agent to record the election campaign process. Min-ki asked Il-joon why he was chosen, and Il-joon confessed that Min-ki was his son. The man in the picture Min-ki had seen was Jang Il-joon. However, Min-ki felt something had gone wrong as he realized that the picture had disappeared. Now Min-ki suspects that his mother's death was not an accident and that Jang Il-joon had actually killed her.",KBS 2TV,,"Drama, Political",,,"December 15, 2010 –
February 24, 2011",,"Choi Soo-jong, Ha Hee-ra","Son Young-mok, Jung Hyun-min, Son Ji-hye",Kim Hyung-il,20,"2010, 2011",-
The Princess' Man,-,"Grand Prince Suyang attempts to build an alliance with Kim Jong-seo, the trusted official of his brother, King Munjong. He proposes a marriage between his eldest daughter, Lee Se-ryung, and Kim Jong-seo's younger son, Kim Seung-yoo. Learning of this, Se-ryung's curiosity regarding her prospective husband is piqued, and on hearing that Seung-yoo is going to take over as the tutor of her cousin, Princess Gyeonghye, she persuades her to swap places so that she can catch a glimpse of her intended. Her first impression is not favorable and she is convinced that he is an arrogant womanizer. Later, as she attempts to master her current obsession with riding a horse, Seung-yoo arrives in the nick of time to rescue her from being thrown off a precipice.",KBS2,,"Romance, Historical",,,"20 July –
6 October 2011",,"Park Si-hoo, Moon Chae-won, Kim Yeong-cheol, Song Jong-ho, Hong Soo-hyun, Lee Min-woo, Lee Soon-jae",Jo Jung-joo,"Kim Jung-min, Park Hyun-suk",24,2011,-
The Producers (TV series),-,"In the center of Yeouido is the KBS building. On its sixth floor are partitioned offices where employees work in the network's variety department, keeping hectic schedules of filming, editing and all-night meetings.",KBS2,,Comedy-drama,,,"May 15 –
June 20, 2015",,"Cha Tae-hyun, Gong Hyo-jin, Kim Soo-hyun, Lee Ji-eun","Park Ji-eun, Kim Ji-sun","Seo Soo-min, Pyo Min-soo",12 (+1 special),2015,-
The Promise (2016 TV series),-,"Na-yeon (Lee Yu-ri) is a bright woman. She supports her boyfriend Tae-joon (Seo Jun-young), who is from a poor background, and has even given up entering a university. But Tae-joon dumps her for his success and goes with Se-jin (Park Ha-na), who is the granddaughter of the Baekdo Company president. Do-hee (Lee Yu-ri) is Na-Yeon's twin sister, who was separated from her at birth. Hence, they have never met each other. Do-hee works as a reporter at a weekly magazine, and is the girlfriend of Hwi-kyung (Song Jong-ho), who is the successor of Baekdo Company, and Se-jin's step-uncle. After a series of events, Se-jin's family wrongfully placed Na-yeon in a mental hospital. Do-hee manages to track Na-yeon down, and they switch places. Shortly after, Do-hee dies in Na-yeon's place when the building catches fire. After her death, Na-yeon decides to take revenge. She takes on the identity of Do-hee, then marries Hwi-kyung, stepping into Se-jin's family in the process.",KBS2,,"Melodrama, Revenge",,,"February 1 –
June 24, 2016",,"Lee Yu-ri, Seo Jun-young, Park Ha-na, Song Jong-ho","Kim Yoon-shin, Heo In-moo",Jeon Woo-sung,102,2016,-
The Queen of Office,"Queen of the Office, Goddess of the Workplace","The Queen of Office (Korean: 직장의 신; RR: Jikjangui sin; lit. God of the Workplace) is a 2013 South Korean television series starring Kim Hye-soo, Oh Ji-ho, Jung Yu-mi, Lee Hee-joon, Jeon Hye-bin, and Jo Kwon. It aired on KBS2 from April 1 to May 21, 2013, on Mondays and Tuesdays at 22:00 for 16 episodes. Kim later won the Daesang (or ""Grand Prize""), the highest honor at the 2013 KBS Drama Awards.",Korean Broadcasting System,,"Romance, Comedy, Drama",,,"April 1 –
May 21, 2013",,"Kim Hye-soo, Oh Ji-ho, Jung Yu-mi, Lee Hee-joon, Jeon Hye-bin, Jo Kwon",Yoon Nan-joong,"Jeon Chang-geun, Noh Sang-hoon",16,2013,-
The Queen Who Crowns,-,"At the end Goryeo dynasty period, Won-gyeong chooses to marry the man she loves. She supports her husband, Lee Bang-won, in his rise to the throne. However, as he consolidates his rule and stabilizes the kingdom, conflicts arise between them. Despite their struggles, Won-gyeong never wavers and fulfills her role as both queen and a devoted wife.","TVING
tvN",,"Period drama, Melodrama",,,"January 6 –
February 11, 2025",,"Cha Joo-young, Lee Hyun-wook, Lee Yi-dam, Lee Si-a",Lee Young-mi,Kim Sang-ho,12,2025,-
The Queen's Classroom (2013 TV series),"Queen of the Classroom, Class of the Queen, Queen's Class",-,MBC,,"Drama, Comedy, School",,,"June 12 –
August 1, 2013",,"Go Hyun-jung, Kim Hyang-gi, Chun Bo-geun, Kim Sae-ron, Seo Shin-ae","Kim Won-seok, Kim Eun-hee",Lee Dong-yoon,16,2013,-
The Real Has Come!,"The Real Deal Has Come!, The Real Appeared!, The Real Deal","The series depicts the story of an unmarried pregnant woman and an unmarried man who enter into a false contract which leads them to romance, pregnancy, childbirth, and childrearing.",KBS2,,"Family drama, Romantic comedy",,,"March 25 –
September 10, 2023",,"Baek Jin-hee, Ahn Jae-hyun, Cha Joo-young, Jung Eui-jae",Jo Jeong-joo,Han Joon-seo,50,2023,-
The Rebel (South Korean TV series),-,"Set during the reign of famous tyrant Yeonsangun, it tells the story of Hong Gil-dong, the son of a slave who stole from the rich and gave to the poor, and his journey in becoming Joseon's first revolutionary.",MBC TV,,"Historical, Melodrama, Romance",,,"January 30 –
May 16, 2017",,"Kim Sang-joong, Yoon Kyun-sang, Chae Soo-bin, Kim Ji-suk, Lee Hanee",Hwang Jin-young,Kim Jin-man,30,2017,-
The Red Sleeve,-,"Based on a novel of the same name, The Red Sleeve tells the record of a royal court romance between the King of Joseon who places his duty to his country above love, and a court lady who wants to protect the life she has chosen. The story is told from the viewpoint of the court lady.",MBC TV,,"Romance, Historical drama",,,"November 12, 2021 –
January 1, 2022",,"Lee Jun-ho, Lee Se-young, Kang Hoon",Jung Hae-ri,"Jung Ji-in, Song Yeon-hwa",17,"2021, 2022",-
The Reputable Family,-,"In 1636, at a time of war, Choi Jin-lip donates his fortune to a crowd of refugees out of generosity when they flood into his quiet village. Choi Guk-seon is unhappy with his grandfather being too generous with poor people. Before leaving for Gyeongju, Jin-lip leaves his grandson a word of great significance, saying ""People are the most valuable asset in the world.""",KBS1,,-,,,"January 2 –
February 21, 2010",,"Cha In-pyo, Han Go-eun, Kim Sung-min, Lee Hee-do","Baek Young-sook, Yoon Young-soo","Lee Eung-bok, Jeon Woo-sung",16,2010,-
The Return of Hwang Geum-bok,Returned and Revenged,"Hwang Geum-bok (Shin Da-eun) searches for her mother, Hwang Eun-sil (Jeon Mi-seon), who goes missing during a trip to Japan with her friend Baek Ri-hyang (Shim Hye-jin). Her search reveal the secrets behind her mother's mysterious disappearance.",SBS,,"Melodrama, Romance, Family, Revenge",,,"5 April –
31 December 2015",,"Shin Da-eun, Lee Elijah, Kim Jin-woo, Jung Eun-woo",Ma Joo-hee,Yoon Ryu-hae,125,2015,-
The Return of Iljimae,Moon River,"Iljimae (Jung Il-woo) was born out of wedlock and his father was a high-ranking noble official while his mother was a lowly servant. To protect the honor of his father's family, he was abandoned as a baby and tucked underneath an apricot tree. Thus he was given the name Iljimae (""branch of plum tree"").",MBC TV,,"Romance, Historical, Action",,,"January 21 –
April 9, 2009",,"Jung Il-woo, Yoon Jin-seo, Kim Min-jong, Jung Hye-young","Kim Kwang-sik, Do Young-myung","Hwang In-roi, Kim Soo-young",24,2009,-
The Rich Son,-,-,MBC TV,,"Family, Melodrama",,,"March 25 –
October 7, 2018",,"Kim Ji-hoon, Kim Ju-hyeon, Lee Kyu-han, Hong Soo-hyun",Kim Jung-Soo,Choi Chang-Wook,85,2018,-
The Road Home (South Korean TV series),"The Way Home, On the Way Home","A simple yet heartwarming story of a three-generation family, The Road Home portrays the love and conflicts between family members running a general hospital. It explores the lives of the grown-up children, each facing their own challenges, and how they cope with their aging parents.",KBS1,,"Drama, Romance, Drama",,,"January 12 –
June 26, 2009",,"Lee Sang-woo, Jang Shin-young, Shim Hyung-tak, Jo Yeo-jeong, Park Hye-won, Ryohei Otani","Lee Geum-rim, Park Ji-sook",Moon Bo-hyun,120,2009,-
The Road: The Tragedy of One,"The Tragedy of One, Birth of a Tragedy","""Royal the Hill"" is a posh place where the top one percent of Koreans live. The series tells the secrets, desires, guilts and salvation of the residents of this place.","tvN
iQiyi",,"Mystery, Thriller, Drama",,,"August 4 –
September 9, 2021",,"Ji Jin-hee, Yoon Se-ah, Kim Hye-eun, Kim Sung-soo",Yoon Hee-jung,Kim No-won,12,2021,-
The Royal Gambler,Daebak,"This drama is about a prince who is forced to live as a commoner and uses his gambling skills to take revenge on the King. Dae-Gil (Jang Geun-suk) and King Yeongjo (Yeo Jin-goo) enter a match. Dae-Gil bets his life and King Yeongjo bets the entire Kingdom of Joseon on the outcome. Dae-Gil is the best gambler in the Joseon era. He holds deep resentment inside, but is also cool on the exterior. King Yeongjo is a man who never lowers his head without a convincing reason. Meanwhile, Dam-Seo (Lim Ji-yeon) exists solely to take revenge upon the king.",SBS,,Historical,,,"March 28 –
June 14, 2016",,"Jang Keun-suk, Yeo Jin-goo, Jun Kwang-ryul, Choi Min-soo, Yoon Jin-seo, Lim Ji-yeon, Hyun Woo",Kwon Soon-gyu,Nam Geon,24,2016,-
The Running Mates: Human Rights,-,The series follows a group of investigators who work for South Korea's Human rights commission.,OCN,,-,,,"September 18 –
October 31, 2019",,"Lee Yo-won, Choi Gwi-hwa",Baek Jung-chul,Kim Yong-soo,14,2019,-
The Scandal (TV series),"Scandal, Scandal: A Shocking and Wrongful Incident","Detective Ha Eun-joong uncovers a shocking secret: Ha Myung-geun, the man he believed to be his father, had actually kidnapped him as a child. Myung-geun had lost his own son in a building collapse and, as revenge against Jang Tae-ha—the man responsible for the tragedy—he abducted Tae-ha's son and raised him as his own. In the aftermath of his revenge, Eun-joong searches for the truth and becomes caught between his two fathers and the woman he loves, Woo Ah-mi.",MBC,,"Melodrama, Family, Revenge, Crime",,,"June 29 –
October 27, 2013",,"Kim Jaewon, Jo Yoon-hee, Cho Jae-hyun, Park Sang-min, Shin Eun-kyung, Ki Tae-young",Bae Yoo-mi,"Kim Jin-man, Park Jae-beom",36,2013,-
The Scandal of Chunhwa,-,"The drama follows Hwa-ri (Go A-ra), a princess determined to choose her own husband, even as her father, the king, rushes to arrange her marriage after rumors spread that she is the protagonist of a provocative anthology titled ""Chunhwa Love Stories.""",TVING,,Historical romance,,,"February 6 –
March 6, 2025",,"Go Ara, Chang Ryul, Kang Chan-hee",Seo Eun-jung,Lee Kwang-young,10,2025,-
The Scholar Who Walks the Night,-,"Set in an alternate Joseon dynasty, Jo Yang-sun (Lee Yu-bi) is the daughter of a nobleman whose family loses everything when her father is framed for treason. To make ends meet, Yang-sun begins cross-dressing as a male bookseller and meets the handsome and mysterious scholar Kim Sung-yeol (Lee Joon-gi), who works at the Hongmungwan. Kim Sung-yeol has spent 120 years as a guardian vampire who is responsible for getting rid of any vampire who disobeys the rules. As a guardian vampire, he is able to go out in sunlight as long as he wears his special black robe. Sung-yeol continues to be haunted by the long-ago death of his first love, Lee Myung-hee (Kim So-eun), who sacrificed herself for him 120 years ago. Sung-yeol decides to pay Yang-sun a high price if she is able to find the memorandum of his best friend, the late Crown Prince Jonghyun, which contains the secret to killing Gwi (Lee Soo-hyuk) and avenge the death of his family and lover. After the second meeting with Yang-sun, Sung-yeol finds out that Yang-sun is a girl. However, he decides to keep it as a secret to avoid awkwardness with Yang-sun. Yang-sun tries very hard to find the memorandum as she promised since she also needs money to cure her sister's leg.",Munhwa Broadcasting Corporation,,"Historical, Fantasy, Romance",,,"July 8 –
September 10, 2015",,"Lee Joon-gi, Lee Yu-bi, Shim Chang-min, Lee Soo-hyuk, Kim So-eun",Jang Hyun-joo,Lee Sung-joon,20,2015,-
